latitude;longitude;descr_cat_veh;descr_agglo;descr_athmo;description_intersection;age;descr_grav;descr_motif_traj;descr_type_col
47.4667;7.36667;2;1;2;1;90;1;2;1
49.1167;2.23333;2;1;1;1;36;1;1;1
47.25;-2.16667;1;2;2;2;76;1;2;1
42.6833;2.88333;2;2;2;1;83;1;2;1
48.5167;-2.78333;2;2;2;2;43;1;2;1
47.9833;-4.18333;2;2;2;1;94;1;2;1
46.5345;0.782223;2;2;2;1;75;1;2;1
47.95;1.88333;2;2;2;1;60;1;1;1
47.95;1.88333;2;2;2;1;68;1;1;1
49.2833;2.91667;2;2;2;1;57;1;1;1
47.5833;1.38333;2;2;1;1;34;1;1;1
47.5833;1.38333;2;2;1;1;51;1;2;1
47.5833;1.38333;2;2;2;1;94;1;2;1
47.8;7.13333;2;2;2;2;53;1;1;1
47.7833;6.98333;2;2;1;1;33;1;2;1
48.1;7.3;1;2;2;2;61;1;1;1
48.5167;3.71667;1;2;2;1;56;1;1;1
48.65;-2.01667;2;2;2;1;35;1;2;1
48.0833;-1.68333;2;2;2;2;46;1;2;1
48.0833;-1.68333;2;2;2;2;48;1;2;1
47.2667;-0.083333;1;2;2;1;73;1;1;1
44.0833;4.75;2;2;2;1;42;1;2;1
43.9664;4.79584;2;2;2;1;59;1;2;1
43.8333;4.35;2;2;2;2;59;1;2;1
43.1;5.88333;2;2;2;1;33;1;2;1
43.1167;5.93333;2;2;2;1;49;1;1;1
43.1167;5.93333;1;2;1;1;65;1;1;1
45.6939;-0.508333;2;2;1;1;49;1;1;1
46.15;-1.08333;2;2;2;1;49;1;1;1
46.1667;-1.15;2;2;2;1;68;1;1;1
46.1667;-1.15;2;2;2;1;35;1;2;1
45.95;-0.516667;2;2;2;1;56;1;2;1
45.6667;-1.01667;2;2;2;1;63;1;2;1
47.0833;-0.083333;1;2;2;1;39;1;1;1
46.5833;0.333333;2;2;2;1;37;1;2;1
47.7833;7.0;1;2;2;1;53;1;1;1
48.6833;6.2;1;2;1;2;50;1;1;1
48.6667;6.15;2;2;2;2;75;1;2;1
49.2614;3.98584;1;2;2;2;51;1;1;1
48.9667;4.31667;2;2;1;2;37;1;1;1
48.9667;4.31667;2;2;1;2;37;1;1;1
49.35;0.516667;2;2;2;1;32;1;1;1
49.3333;0.616667;2;2;1;1;53;1;1;1
46.1667;-1.15;2;2;2;2;75;1;2;1
46.1667;-1.15;2;2;2;1;50;1;2;1
45.9333;6.63333;2;2;1;1;43;1;2;1
45.9333;6.63333;2;2;2;2;57;1;2;1
